,Page Num,Experience,job_title,company_name,location,skills
1,0,entry_level,Data Scientist,Dstillery,"New York, NY","Machine Learning, R, Java, Data Science, Python"
2,0,entry_level,Junior Data Scientist,L2,"New York, NY 10012 (Little Italy area)","MySQL, PostgresSQL, BI, Image Processing, Tableau, Python, AWS"
3,0,entry_level,Entry Level Data Scientist,IBM,United States,"Agile, Machine Learning, R, Big Data, Data Mining, Sas, Java, Python"
4,0,entry_level,Data Scientist,Coach,"New York, NY","Machine Learning, R, Data Science, Python"
5,0,entry_level,Machine Learning,Twitter,"New York, NY","Big Data, Natural Language Processing, Spark, Machine Learning, Hadoop"
6,0,entry_level,Data Scientist - Worldwide Advanced Analytics Team,IBM,"New York, NY","Machine Learning, Go, R, Big Data, Spark, Python"
7,0,entry_level,Data Scientist - Journey Analytics,McKinsey & Company,"New York, NY 10022 (Midtown area)","Machine Learning, R, Python"
8,0,entry_level,Data Scientist,Fulcrum Analytics,"New York, NY","Agile, Hadoop, R, Big Data, Java, .Net, Spark, Python, Enterprise Software"
9,0,entry_level,Data Scientist,Plated,"New York, NY","R, Data Science, Python"
10,0,entry_level,Data Scientist,NBCUniversal,"New York, NY","Hive, Machine Learning, R, Hadoop, Scala, Sas, Image Processing, Java, Spark, Data Science, Python"
11,10,entry_level,"Data Science Intern (Predictive Analytics, Jersey City)",Zurich North America,"Jersey City, NJ","Machine Learning, R, Data Mining, Hadoop, Arc Gis, Spark, Git, Data Science, Python"
12,10,entry_level,Data Scientist,ServiceChannel,"New York, NY 10003 (Greenwich Village area)","TensorFlow, AI, Data Mining, Machine Learning, Python"
13,10,entry_level,Data Scientist,Pivotal Software,"New York, NY 10017 (Midtown area)","Agile, Hive, Machine Learning, R, C/C++, MATLAB, Pentaho, BI, Hadoop, Sas, Tableau, Java, Python"
14,10,entry_level,Data Scientist,Fino Consulting,"New York, NY 10018 (Clinton area)","Hive, Machine Learning, R, MATLAB, Hadoop, Sas, Python"
15,10,entry_level,Data Scientist,"Converseon, Inc.","New York, NY 10018 (Clinton area)","Visual Basic, Tableau, Big Data, Python"
